catalog_id,tool,repo,language,verdict,license_vault,license_source,clusters,method_ids,risks_from_methods
1,microsoft/agent-governance-toolkit,https://github.com/microsoft/agent-governance-toolkit,Python,prod,MIT,detail,cluster-governance-platform cluster-tool-firewall-yaml cluster-llm-gateway cluster-tool-firewall-pdp cluster-supply-chain-scanners cluster-artifact-trust,11 12 21 22 25 26 32 35 36 37 39 41,ASI02 ASI03 ASI04 ASI05 ASI07 ASI08 ASI09 ASI10 LLM01 LLM03 LLM04 LLM06 LLM10
2,luckyPipewrench/pipelock,https://github.com/luckyPipewrench/pipelock,Go,prod,Apache-2.0,detail,cluster-egress-proxy-dlp cluster-content-guardrails-ml cluster-governance-platform,3 6 7 19 23 25 39,ASI01 ASI02 ASI03 ASI04 ASI08 ASI09 ASI10 LLM01 LLM02 LLM03 LLM04 LLM05 LLM10
3,Justin0504/Aegis,https://github.com/Justin0504/Aegis,Go,prod,MIT,detail,cluster-tool-firewall-pdp cluster-tool-firewall-yaml cluster-governance-platform cluster-content-guardrails-ml cluster-observability,1 3 12 19 21 37 39,ASI01 ASI02 ASI03 ASI06 ASI08 ASI09 ASI10 LLM01 LLM05 LLM06
4,peg/rampart,https://github.com/peg/rampart,Unknown,experimental,Apache-2.0,detail,cluster-tool-firewall-yaml cluster-sandbox-isolation,12 35,ASI02 ASI03 ASI05 LLM06
5,safe-agentic-world/nomos,https://github.com/safe-agentic-world/nomos,Unknown,experimental,Apache-2.0,detail,cluster-tool-firewall-yaml cluster-tool-firewall-pdp,12 14 21,ASI02 ASI03 ASI08 ASI09 LLM06
6,lokeshsk/zerotrust-agents,https://github.com/lokeshsk/zerotrust-agents,Unknown,experimental,MIT,detail,cluster-tool-firewall-pdp cluster-tool-firewall-yaml cluster-egress-proxy-dlp,12 23,ASI02 ASI03 ASI08 LLM02 LLM06 LLM10
7,SecAI-Hub/agent-tool-firewall,https://github.com/SecAI-Hub/agent-tool-firewall,Unknown,experimental,Apache-2.0,detail,cluster-tool-firewall-yaml,12 14,ASI02 ASI03 LLM06
8,sattyamjjain/agent-airlock,https://github.com/sattyamjjain/agent-airlock,Python,prod,MIT,detail,cluster-sandbox-isolation cluster-formal-policies cluster-tool-firewall-yaml cluster-llm-gateway cluster-content-guardrails-mixed,5 11 12 13 14 20 33,ASI02 ASI03 ASI05 ASI08 LLM02 LLM05 LLM06 LLM07 LLM10
9,0xrem/agent-firewall,https://github.com/0xrem/agent-firewall,Unknown,experimental,Apache-2.0,detail,cluster-tool-firewall-yaml,12 14,ASI02 ASI03 LLM06
10,sunblaze-ucb/progent,https://github.com/sunblaze-ucb/progent,Python,experimental,MIT,detail,cluster-formal-policies cluster-tool-firewall-yaml,12 17 21,ASI02 ASI03 ASI08 ASI09 ASI10 LLM06
11,Agentic-AI-Risk-Mitigation/Janus,https://github.com/Agentic-AI-Risk-Mitigation/Janus,Python,prod,Apache-2.0,detail,cluster-formal-policies cluster-tool-firewall-yaml,12 13 18 35,ASI02 ASI03 ASI05 LLM06 LLM07
12,agentgateway/agentgateway,https://github.com/agentgateway/agentgateway,Rust/Go,prod,Apache-2.0,detail,cluster-mcp-gateway cluster-llm-gateway,11 24,ASI02 ASI03 ASI07 ASI08 LLM10
