risk_asi,risk_llm,primary,scenario,block_id,method_id,method_slug,rating,layer,method_type,prod_viable,effectiveness,robustness,evidence_level,tools_prod
ASI01,LLM01,ASI01,Захват цели агента (инъекция в промпт / косвенная),row-asi01-hijack,1,01-классификация-инъекций-машинным-обучением,ср.,text,V,partial,medium,low,moderate,Justin0504/Aegis NVIDIA-NeMo/Guardrails NVIDIA/garak guardrails-ai/guardrails meta-llama/PurpleLlama microsoft/PyRIT promptfoo/promptfoo protectai/llm-guard
ASI01,LLM01,ASI01,Захват цели агента (инъекция в промпт / косвенная),row-asi01-hijack,2,02-cot-reasoning-audit,ср.,text,V,false,medium,low,strong,meta-llama/PurpleLlama
ASI01,LLM01,ASI01,Захват цели агента (инъекция в промпт / косвенная),row-asi01-hijack,3,03-правила-и-шаблоны-для-выявления-инъекций,ср.,text,D,true,medium,medium,moderate,Justin0504/Aegis NVIDIA-NeMo/Guardrails luckyPipewrench/pipelock
ASI01,LLM01,ASI01,Захват цели агента (инъекция в промпт / косвенная),row-asi01-hijack,15,15-правила-последовательности-вызовов-и-потоков-данных,выс.,action,D,true,high,high,moderate,snyk/agent-scan
ASI01,LLM01,ASI01,Захват цели агента (инъекция в промпт / косвенная),row-asi01-hijack,16,16-ifc-capability-taint,выс.,action,D,false,high,medium,strong,
ASI01,LLM01,ASI01,Захват цели агента (инъекция в промпт / косвенная),row-asi01-hijack,27,27-статическая-проверка-навыков-и-плагинов,ср.,supply-chain,S,partial,medium,medium,moderate,GoPlusSecurity/agentguard
ASI01,LLM01,ASI01,Захват цели агента (инъекция в промпт / косвенная),row-asi01-hijack,28,28-toxic-flow-analysis,выс.,supply-chain,D,true,high,medium,strong,snyk/agent-scan
ASI01,LLM01,ASI01,Захват цели агента (инъекция в промпт / косвенная),row-asi01-hijack,42,42-colang-dialog-rails,ср.,dialog,D,true,medium,medium,strong,NVIDIA-NeMo/Guardrails
ASI01,LLM01,ASI01,Захват цели агента (инъекция в промпт / косвенная),row-asi01-hijack,43,43-две-модели-с-разделением-доверия-и-карантином,выс.,architecture,A,partial,high,high,moderate,
ASI01,LLM01,ASI01,Захват цели агента (инъекция в промпт / косвенная),row-asi01-hijack,44,44-red-team-regression,мета,meta,T,true,high,medium,strong,NVIDIA/garak UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo microsoft/PyRIT promptfoo/promptfoo
ASI01,LLM01,ASI01,Захват цели агента (инъекция в промпт / косвенная),row-asi01-hijack,45,45-agentdojo-как-эталонный-набор-испытаний,мета,tests,T,false,meta-tool,n/a,strong,UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo
ASI01,LLM01,ASI01,"↳ обход фильтров (кодирование, Unicode)",row-asi01-bypass,1,01-классификация-инъекций-машинным-обучением,ср.,text,V,partial,medium,low,moderate,Justin0504/Aegis NVIDIA-NeMo/Guardrails NVIDIA/garak guardrails-ai/guardrails meta-llama/PurpleLlama microsoft/PyRIT promptfoo/promptfoo protectai/llm-guard
ASI01,LLM01,ASI01,"↳ обход фильтров (кодирование, Unicode)",row-asi01-bypass,3,03-правила-и-шаблоны-для-выявления-инъекций,ср.,text,D,true,medium,medium,moderate,Justin0504/Aegis NVIDIA-NeMo/Guardrails luckyPipewrench/pipelock
ASI01,LLM01,ASI01,"↳ обход фильтров (кодирование, Unicode)",row-asi01-bypass,4,04-unicode-normalization,низ.,text,D,true,low,low,strong,
ASI01,LLM01,ASI01,"↳ обход фильтров (кодирование, Unicode)",row-asi01-bypass,27,27-статическая-проверка-навыков-и-плагинов,низ.,supply-chain,S,partial,medium,medium,moderate,GoPlusSecurity/agentguard
ASI01,LLM01,ASI01,"↳ обход фильтров (кодирование, Unicode)",row-asi01-bypass,44,44-red-team-regression,мета,meta,T,true,high,medium,strong,NVIDIA/garak UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo microsoft/PyRIT promptfoo/promptfoo
ASI01,LLM01,ASI01,"↳ обход фильтров (кодирование, Unicode)",row-asi01-bypass,45,45-agentdojo-как-эталонный-набор-испытаний,мета,tests,T,false,meta-tool,n/a,strong,UKGovernmentBEIS/inspect_ai UKGovernmentBEIS/inspect_evals ethz-spylab/agentdojo
ASI06,"LLM01, LLM08",ASI06,"Отравление памяти и контекста (RAG, долгий диалог)",row-asi06-poison,1,01-классификация-инъекций-машинным-обучением,ср.,text,V,partial,medium,low,moderate,Justin0504/Aegis NVIDIA-NeMo/Guardrails NVIDIA/garak guardrails-ai/guardrails meta-llama/PurpleLlama microsoft/PyRIT promptfoo/promptfoo protectai/llm-guard
ASI06,"LLM01, LLM08",ASI06,"Отравление памяти и контекста (RAG, долгий диалог)",row-asi06-poison,2,02-cot-reasoning-audit,ср.,text,V,false,medium,low,strong,meta-llama/PurpleLlama
ASI06,"LLM01, LLM08",ASI06,"Отравление памяти и контекста (RAG, долгий диалог)",row-asi06-poison,3,03-правила-и-шаблоны-для-выявления-инъекций,низ.,text,D,true,medium,medium,moderate,Justin0504/Aegis NVIDIA-NeMo/Guardrails luckyPipewrench/pipelock
ASI06,"LLM01, LLM08",ASI06,"Отравление памяти и контекста (RAG, долгий диалог)",row-asi06-poison,15,15-правила-последовательности-вызовов-и-потоков-данных,выс.,action,D,true,high,high,moderate,snyk/agent-scan
ASI06,"LLM01, LLM08",ASI06,"Отравление памяти и контекста (RAG, долгий диалог)",row-asi06-poison,27,27-статическая-проверка-навыков-и-плагинов,ср.,supply-chain,S,partial,medium,medium,moderate,GoPlusSecurity/agentguard
ASI06,"LLM01, LLM08",ASI06,"Отравление памяти и контекста (RAG, долгий диалог)",row-asi06-poison,43,43-две-модели-с-разделением-доверия-и-карантином,выс.,architecture,A,partial,high,high,moderate,
